K-APT 전수 원본 20638건
기존 data.js 14798건
갭(미보유) 단지 16272건 — 지오코딩 시작
  진행 100/16272 (성공 87 실패 13)
  진행 200/16272 (성공 170 실패 30)
  진행 300/16272 (성공 262 실패 38)
  진행 400/16272 (성공 353 실패 47)
  진행 500/16272 (성공 449 실패 51)
  진행 600/16272 (성공 539 실패 61)
  진행 700/16272 (성공 626 실패 74)
  진행 800/16272 (성공 718 실패 82)
  진행 900/16272 (성공 807 실패 93)
  진행 1000/16272 (성공 899 실패 101)
  진행 1100/16272 (성공 985 실패 115)
  진행 1200/16272 (성공 1074 실패 126)
  진행 1300/16272 (성공 1167 실패 133)
  진행 1400/16272 (성공 1262 실패 138)
  진행 1500/16272 (성공 1353 실패 147)
  진행 1600/16272 (성공 1446 실패 154)
  진행 1700/16272 (성공 1540 실패 160)
  진행 1800/16272 (성공 1626 실패 174)
  진행 1900/16272 (성공 1720 실패 180)
  진행 2000/16272 (성공 1812 실패 188)
  진행 2100/16272 (성공 1905 실패 195)
  진행 2200/16272 (성공 1998 실패 202)
  진행 2300/16272 (성공 2092 실패 208)
  진행 2400/16272 (성공 2184 실패 216)
  진행 2500/16272 (성공 2277 실패 223)
  진행 2600/16272 (성공 2371 실패 229)
  진행 2700/16272 (성공 2461 실패 239)
  진행 2800/16272 (성공 2557 실패 243)
  진행 2900/16272 (성공 2654 실패 246)
  진행 3000/16272 (성공 2748 실패 252)
  진행 3100/16272 (성공 2842 실패 258)
  진행 3200/16272 (성공 2939 실패 261)
  진행 3300/16272 (성공 3025 실패 275)
  진행 3400/16272 (성공 3118 실패 282)
  진행 3500/16272 (성공 3211 실패 289)
  진행 3600/16272 (성공 3307 실패 293)
  진행 3700/16272 (성공 3398 실패 302)
  진행 3800/16272 (성공 3497 실패 303)
  진행 3900/16272 (성공 3593 실패 307)
  진행 4000/16272 (성공 3690 실패 310)
  진행 4100/16272 (성공 3789 실패 311)
  진행 4200/16272 (성공 3880 실패 320)
  진행 4300/16272 (성공 3975 실패 325)
  진행 4400/16272 (성공 4070 실패 330)
  진행 4500/16272 (성공 4165 실패 335)
  진행 4600/16272 (성공 4262 실패 338)
  진행 4700/16272 (성공 4360 실패 340)
  진행 4800/16272 (성공 4458 실패 342)
  진행 4900/16272 (성공 4553 실패 347)
  진행 5000/16272 (성공 4649 실패 351)
  진행 5100/16272 (성공 4748 실패 352)
  진행 5200/16272 (성공 4843 실패 357)
  진행 5300/16272 (성공 4940 실패 360)
  진행 5400/16272 (성공 5037 실패 363)
  진행 5500/16272 (성공 5135 실패 365)
  진행 5600/16272 (성공 5231 실패 369)
  진행 5700/16272 (성공 5322 실패 378)
  진행 5800/16272 (성공 5419 실패 381)
  진행 5900/16272 (성공 5507 실패 393)
  진행 6000/16272 (성공 5602 실패 398)
  진행 6100/16272 (성공 5695 실패 405)
  진행 6200/16272 (성공 5789 실패 411)
  진행 6300/16272 (성공 5884 실패 416)
  진행 6400/16272 (성공 5979 실패 421)
  진행 6500/16272 (성공 6069 실패 431)
  진행 6600/16272 (성공 6164 실패 436)
  진행 6700/16272 (성공 6258 실패 442)
  진행 6800/16272 (성공 6349 실패 451)
  진행 6900/16272 (성공 6444 실패 456)
  진행 7000/16272 (성공 6537 실패 463)
  진행 7100/16272 (성공 6635 실패 465)
  진행 7200/16272 (성공 6729 실패 471)
  진행 7300/16272 (성공 6826 실패 474)
  진행 7400/16272 (성공 6923 실패 477)
  진행 7500/16272 (성공 7020 실패 480)
  진행 7600/16272 (성공 7120 실패 480)
  진행 7700/16272 (성공 7212 실패 488)
  진행 7800/16272 (성공 7301 실패 499)
  진행 7900/16272 (성공 7397 실패 503)
  진행 8000/16272 (성공 7492 실패 508)
  진행 8100/16272 (성공 7584 실패 516)
  진행 8200/16272 (성공 7673 실패 527)
  진행 8300/16272 (성공 7764 실패 536)
  진행 8400/16272 (성공 7848 실패 552)
  진행 8500/16272 (성공 7941 실패 559)
  진행 8600/16272 (성공 8036 실패 564)
  진행 8700/16272 (성공 8130 실패 570)
  진행 8800/16272 (성공 8224 실패 576)
  진행 8900/16272 (성공 8320 실패 580)
  진행 9000/16272 (성공 8416 실패 584)
  진행 9100/16272 (성공 8505 실패 595)
  진행 9200/16272 (성공 8597 실패 603)
